timestamp,open,high,low,close,volume
2025-11-01 00:00:00,4020.81,4032.43,4019.09,4029.04,0
2025-11-01 00:15:00,4029.04,4031.02,4024.52,4025.24,0
2025-11-01 00:30:00,4025.82,4027.42,4012.92,4015.08,0
2025-11-01 00:45:00,4015.09,4022.03,4011.18,4015.69,0
2025-11-01 01:00:00,4015.69,4025.92,4015.69,4018.62,0
2025-11-01 01:15:00,4018.62,4024.86,4015,4015,0
2025-11-01 01:30:00,4015,4020.92,4012.11,4016.28,0
2025-11-01 01:45:00,4016.64,4021.32,4010.45,4020.81,0
2025-11-01 02:00:00,4020.75,4020.75,4010.51,4016.07,0
2025-11-01 02:15:00,4016.13,4017.68,4014.04,4016.06,0
2025-11-01 02:30:00,4016.52,4020.61,4014.9,4019.68,0
2025-11-01 02:45:00,4019.69,4020.61,4010.43,4011.79,0
2025-11-01 03:00:00,4012.04,4013.84,3976.81,3978.56,0
2025-11-01 03:15:00,3978.56,3988.98,3971.81,3985.35,0
2025-11-01 03:30:00,3985.34,3989.07,3978.4,3981.58,0
2025-11-01 03:45:00,3981.58,3982.55,3974.44,3976.39,0
2025-11-01 04:00:00,3976.39,3984.99,3976.21,3978.16,0
2025-11-01 04:15:00,3978.16,3981.78,3976.63,3979.26,0
2025-11-01 04:30:00,3979.27,3994.25,3973.87,3992.67,0
2025-11-01 04:45:00,3992.67,3997.4,3991.68,3992.5,0
2025-11-01 05:00:00,3992.49,4001,3989.52,4000.3,0
2025-11-01 05:15:00,4000.31,4003.21,3999.41,4002.92,0
2025-11-01 05:30:00,4002.91,4002.91,3997.26,3998.85,0
2025-11-01 05:45:00,3998.85,4000.31,3994.5,3995.22,0
2025-11-01 06:00:00,3995.01,4001.87,3993.98,3995.81,0
2025-11-01 06:15:00,3995.81,3997.37,3987.22,3996.24,0
2025-11-01 06:30:00,3996.23,3996.23,3988.74,3993.26,0
2025-11-01 06:45:00,3993.26,3995.76,3990.41,3995.65,0
2025-11-01 07:00:00,3995.65,3995.69,3991.21,3994.21,0
2025-11-01 07:15:00,3994.21,3997.77,3993.25,3997.77,0
2025-11-01 07:30:00,3997.77,4001.2,3997.77,3999.08,0
2025-11-01 07:45:00,3999.07,3999.08,3996.23,3996.23,0
2025-11-01 08:00:00,3995.93,4002.97,3995.92,4002.97,0
2025-11-01 08:15:00,4002.96,4004,3998.53,3998.86,0
2025-11-01 08:30:00,3998.85,4004.21,3996.32,4002.47,0
2025-11-01 08:45:00,4002.46,4002.79,4000.7,4000.7,0
2025-11-01 09:00:00,4000.71,4003,4000.07,4000.27,0
2025-11-01 09:15:00,4000.26,4002.78,3998.34,4002.78,0
2025-11-01 09:30:00,4002.78,4002.78,4000.34,4000.35,0
2025-11-01 09:45:00,4000.35,4000.75,4000,4000.05,0
2025-11-01 10:00:00,4000.09,4003.05,4000.08,4003.05,0
2025-11-01 10:15:00,4003.05,4003.46,4002.77,4003.43,0
2025-11-01 10:30:00,4003.43,4003.43,4003.12,4003.13,0
2025-11-01 10:45:00,4003.13,4003.52,4000.16,4000.16,0
2025-11-01 11:00:00,4000.16,4003.62,3995.51,4002.59,0
2025-11-01 11:15:00,4002.58,4005.63,4001.26,4001.27,0
2025-11-01 11:30:00,4001.27,4003.76,4001.02,4001.02,0
2025-11-01 11:45:00,4001.03,4003.26,4001.02,4002.05,0
2025-11-01 12:00:00,4002.06,4004.5,4000.84,4004.12,0
2025-11-01 12:15:00,4004.12,4004.82,4002.98,4004.32,0
2025-11-01 12:30:00,4004.32,4005.42,4002.86,4004.94,0
2025-11-01 12:45:00,4004.93,4004.95,4002.21,4002.23,0
2025-11-01 13:00:00,4002.23,4003.09,4002.22,4003.09,0
2025-11-01 13:15:00,4003.08,4003.49,4001.32,4002.06,0
2025-11-01 13:30:00,4002.07,4002.07,3999.71,4001.79,0
2025-11-01 13:45:00,4001.79,4001.95,4001.78,4001.95,0
2025-11-01 14:00:00,4001.95,4005.95,4001.33,4003.51,0
2025-11-01 14:15:00,4003.5,4005.32,4003.5,4004.97,0
2025-11-01 14:30:00,4004.97,4004.97,4003.86,4003.87,0
2025-11-01 14:45:00,4003.86,4004.43,4003.77,4004.43,0
2025-11-01 15:00:00,4004.43,4005.97,4004.43,4005.97,0
2025-11-01 15:15:00,4005.97,4007.15,4004.5,4007.15,0
2025-11-01 15:30:00,4007.14,4007.15,4003.62,4004.59,0
2025-11-01 15:45:00,4004.58,4006.36,4004.58,4005.75,0
2025-11-01 16:00:00,4005.75,4005.85,4004.1,4004.59,0
2025-11-01 16:15:00,4004.6,4004.88,4003.38,4003.87,0
2025-11-01 16:30:00,4003.88,4003.88,4003.61,4003.7,0
2025-11-01 16:45:00,4003.7,4003.7,4003.18,4003.19,0
2025-11-01 17:00:00,4003.18,4003.19,4002.89,4002.9,0
2025-11-01 17:15:00,4002.9,4005.14,4002.89,4003.85,0
2025-11-01 17:30:00,4003.86,4006.57,4002.5,4003.13,0
2025-11-01 17:45:00,4003.12,4003.53,4003.12,4003.53,0
2025-11-01 18:00:00,4003.53,4006.58,4002.43,4003.8,0
2025-11-01 18:15:00,4003.8,4003.86,4002.87,4003.86,0
2025-11-01 18:30:00,4003.86,4004.35,4002.94,4002.94,0
2025-11-01 18:45:00,4002.95,4003.4,4002.95,4002.96,0
2025-11-01 19:00:00,4002.96,4005.62,4002.96,4003.85,0
2025-11-01 19:15:00,4003.86,4003.86,4001.84,4002.88,0
2025-11-01 19:30:00,4002.88,4005.36,4002.88,4003.61,0
2025-11-01 19:45:00,4003.61,4003.75,4003.61,4003.75,0
2025-11-01 20:00:00,4003.75,4004.15,4003.74,4004.14,0
2025-11-01 20:15:00,4004.15,4004.15,4002.85,4002.85,0
2025-11-01 20:30:00,4002.85,4004.13,4002.18,4004.06,0
2025-11-01 20:45:00,4004.06,4004.1,4004.05,4004.09,0
2025-11-01 21:00:00,4004.09,4004.85,4004.09,4004.84,0
2025-11-01 21:15:00,4004.84,4004.85,4003.7,4003.7,0
2025-11-01 21:30:00,4003.71,4008.33,4003.7,4008.33,0
2025-11-01 21:45:00,4008.32,4009.88,4007.36,4008.45,0
2025-11-01 22:00:00,4008.45,4009.49,4008.45,4009.49,0
2025-11-01 22:15:00,4009.48,4009.63,4008.6,4008.6,0
2025-11-01 22:30:00,4008.6,4008.61,4007.97,4007.98,0
2025-11-01 22:45:00,4007.97,4009.48,4007.46,4008.72,0
2025-11-01 23:00:00,4008.71,4008.71,4005.68,4005.75,0
